ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ALB,-2.898572603,5.976225051,-10.24586594,9.94E-22,1.99E-20,38.55831201
F5,1.087661444,5.640149562,10.24241178,1.02E-21,2.04E-20,38.53116733
FBN1,1.390383769,8.031145303,10.23775359,1.06E-21,2.11E-20,38.4945686
TPST2,-1.205241641,7.754367162,-10.21771837,1.24E-21,2.43E-20,38.33725678
TMEM200A,1.057084956,5.942837528,10.21286926,1.29E-21,2.52E-20,38.29920768
VSIG1,1.56536841,4.310208976,10.18434274,1.62E-21,3.13E-20,38.07556841
MSN,1.006174951,9.058085994,10.18328154,1.63E-21,3.15E-20,38.06725542
AKAP7,-1.067994491,6.294320462,-10.15580782,2.03E-21,3.88E-20,37.85220224
MMP7,1.854963115,9.151895827,10.1495247,2.14E-21,4.06E-20,37.80306487
TMED6,-2.23808089,6.3938525,-10.13764741,2.35E-21,4.43E-20,37.71022314
PRRX1,1.013948944,6.031405917,10.12339569,2.63E-21,4.91E-20,37.59889933
CCDC110,-1.111766467,3.906284132,-10.02553123,5.69E-21,1.02E-19,36.8367746
PLXDC2,1.026735969,7.161405345,10.01804881,6.03E-21,1.08E-19,36.77867264
THY1,1.103946162,7.228866841,9.995824198,7.18E-21,1.26E-19,36.60623712
ALKAL2,-1.329218726,5.997956969,-9.972182683,8.65E-21,1.51E-19,36.4230414
CXCL5,1.030841055,4.475198082,9.946272883,1.06E-20,1.82E-19,36.22254617
BNIP3,-1.252216453,7.157177725,-9.942244749,1.09E-20,1.88E-19,36.19140178
TRIM31,1.303314676,4.248797313,9.916035946,1.34E-20,2.26E-19,35.98893491
INHBA,1.041174091,4.751738775,9.883949791,1.73E-20,2.88E-19,35.74147244
PAK3,-1.267605928,6.337592059,-9.873279869,1.88E-20,3.12E-19,35.65928118
SEMA3C,1.16642947,6.134671957,9.869357537,1.93E-20,3.20E-19,35.6290797
MMP1,1.949800018,6.254282959,9.851985207,2.22E-20,3.64E-19,35.49539621
GNMT,-1.849974651,5.254317051,-9.834799524,2.53E-20,4.14E-19,35.36327983
TMEM45B,1.186464455,5.854182657,9.80436197,3.21E-20,5.19E-19,35.12960908
