	logFC	AveExpr	t	P.Value	adj.P.Val	B
DKK1	1.70219321042738	4.7645116268551	12.8238588597871	3.80164919225961e-31	3.35416340192072e-29	59.9909152282078
GPX8	1.21466602057668	6.86082756661571	12.8163239596357	4.06189227352408e-31	3.56221382286798e-29	59.9254040944775
ACACB	-0.764514544060798	5.90749565216304	-12.8158313218342	4.07951287860913e-31	3.56221382286798e-29	59.9211214043369
SGPP2	1.08098961967755	5.65869643003986	12.8113554920004	4.24313573646721e-31	3.68608817311562e-29	59.8822139948153
MELK	1.2054265825019	5.2755398876775	12.8018302447519	4.61345018318629e-31	3.98733908689673e-29	59.799429333644
ADAM28	1.45205548264759	7.01286965454583	12.7973922058155	4.79682358327737e-31	4.12478129445272e-29	59.7608655460529
DLG5	0.519207491874205	6.64964423008366	12.7882353401099	5.19845189101652e-31	4.44756439564747e-29	59.6813132994917
PLAT	1.69712740481958	8.32946617397998	12.777454603719	5.71446698348515e-31	4.86447591458485e-29	59.5876796213006
VIPR2	-0.75774197202378	4.7579115261775	-12.7747266708284	5.85293989084868e-31	4.95744008754883e-29	59.5639912858163
TM4SF1	0.949857459854919	10.0775815945629	12.7572096650252	6.82537701123016e-31	5.75233266518601e-29	59.4119238165407
SLC44A1	0.662729474939916	6.57694700206162	12.7398410844616	7.94843240146614e-31	6.66566558816022e-29	59.2612195150374
ERO1B	-1.83124200549782	6.70778393795635	-12.7391556240694	7.99634757720773e-31	6.67281418511817e-29	59.2552734179373
ARPC2	0.660163735578627	9.33205996504272	12.7317659961803	8.53154320786752e-31	7.05668360638572e-29	59.191178715526
SKAP2	1.04299757687771	6.7693715270106	12.7316573813788	8.53967024385521e-31	7.05668360638572e-29	59.1902367347202
PARP4	0.815231777159979	7.92881717261273	12.7246284857883	9.08234634512258e-31	7.46392944223044e-29	59.1292836358184
ANOS1	1.05939031711201	5.03875761715956	12.7239760322562	9.13443084277249e-31	7.46392944223044e-29	59.1236263186312
ITGAV	0.839049637220831	9.76353649932965	12.723598767316	9.16468314040101e-31	7.46392944223044e-29	59.1203551646845
LRRN1	1.25088425825252	4.8428689868196	12.6970241117459	1.15672120269508e-30	9.37552974816009e-29	58.8900232604771
SLC2A1	1.1782760005717	5.00587794711787	12.6854778402625	1.27978288704649e-30	1.03235819555084e-28	58.7900026170529
